row,sen_number,participant
183,2024SIR0008547,ICE Health Service Corps (IHSC)
184,2024SIR0008572,ERO Philadelphia
184,2024SIR0008572,Moshannon Valley Processing Center (MVPC)
185,2024SIR0008612,ERO Boston
185,2024SIR0008612,ERO San Antonio
185,2024SIR0008612,South Texas ICE Processing Center (STIPC)
186,2024SIR0008632,ERO Dallas
186,2024SIR0008632,Prairieland Detention Center (PDC)
187,2024SIR0008623,ERO Miami
187,2024SIR0008623,Krome Service Processing Center (KSPC)
187,2024SIR0008623,ICE Health Service Corps (IHSC)
188,2024SIR0008616,ERO Miami
188,2024SIR0008616,Krome Service Processing Center (KSPC)
188,2024SIR0008616,ICE Health Service Corps (IHSC)
189,2024SIR0008617,ERO Miami
189,2024SIR0008617,Krome Service Processing Center (KSPC)
189,2024SIR0008617,ICE Health Service Corps (IHSC)
190,2024SIR0008619,ERO Miami
190,2024SIR0008619,Krome Service Processing Center (KSPC)
190,2024SIR0008619,ICE Health Service Corps (IHSC)
191,2024SIR0008621,ERO Miami
191,2024SIR0008621,Krome Service Processing Center (KSPC)
191,2024SIR0008621,ICE Health Service Corps (IHSC)
192,2024SIR0008627,ERO Miami
192,2024SIR0008627,Krome Service Processing Center (KSPC)
192,2024SIR0008627,ICE Health Service Corps (IHSC)
193,2024SIR0008626,ERO Miami
193,2024SIR0008626,Krome Service Processing Center (KSPC)
193,2024SIR0008626,ICE Health Service Corps (IHSC)
194,2024SIR0008631,ERO Miami
194,2024SIR0008631,Krome Service Processing Center (KSPC)
194,2024SIR0008631,ICE Health Service Corps (IHSC)
195,2024SIR0008628,ERO San Diego
195,2024SIR0008628,Imperial Regional Detention (ICSO)
196,2024SIR0008637,ERO Boston
196,2024SIR0008637,ERO Harlingen
196,2024SIR0008637,South Texas ICE Processing Center (STIPC)
197,2024SIR0008649,ERO Washington D.C.
197,2024SIR0008649,Immigration Centers of America (ICA)
198,2024SIR0008710,ERO El Paso
198,2024SIR0008710,ICE Health Service Corps (IHSC)
198,2024SIR0008710,El Paso Processing Center (EPC)
199,2024SIR0008775,ERO Phoenix
199,2024SIR0008775,ERO Miami
199,2024SIR0008775,Florence Detention Center (FDC)
200,2024SIR0008847,ERO El Paso
200,2024SIR0008847,Cibola County Correctional Center (CCCC)
201,2024SIR0008824,ERO Miami
201,2024SIR0008824,Krome Service Processing Center (KSPC)
202,2024SIR0008822,ERO Miami
202,2024SIR0008822,Krome Service Processing Center (KSPC)
202,2024SIR0008822,ICE Health Service Corps (IHSC)
203,2024SIR0008831,ERO Miami
203,2024SIR0008831,Krome Service Processing Center (KSPC)
203,2024SIR0008831,ICE Health Service Corps (IHSC)
204,2024SIR0008869,ERO Miami
204,2024SIR0008869,Krome Service Processing Center (KSPC)
204,2024SIR0008869,ICE Health Service Corps (IHSC)
205,2024SIR0008936,ERO El Paso
205,2024SIR0008936,Otero County Processing Center (OCPC)
206,2024SIR0008966,ERO El Paso
206,2024SIR0008966,El Paso Processing Center (EPC)
206,2024SIR0008966,ICE Health Service Corps (IHSC)
207,2024SIR0008968,ERO El Paso
207,2024SIR0008968,El Paso Processing Center (EPC)
207,2024SIR0008968,ICE Health Service Corps (IHSC)
208,2024SIR0008834,ERO Philadelphia
208,2024SIR0008834,Moshannon Valley Processing Center (MVPC)
209,2024SIR0008982,ERO Philadelphia
209,2024SIR0008982,Moshannon Valley Processing Center (MVPC)
210,2024SIR0009074,ERO Bakersfield
210,2024SIR0009074,ICE Office of the Principal Legal Advisor (OPLA)
210,2024SIR0009074,Golden State Annex (GSA)
211,2024SIR0009077,ERO Houston
211,2024SIR0009077,ICE Health Service Corps (IHSC)
211,2024SIR0009077,Montgomery Processing Center (MPC)
